phenotype_id,fact_concept
30,RXNORM:1648187
30,RXNORM:1648189
30,RXNORM:1648190
30,RXNORM:1648192
30,RXNORM:1648193
30,RXNORM:1648195
30,RXNORM:1648196
30,RXNORM:1648198
30,RXNORM:1648199
30,RXNORM:1648201
30,RXNORM:1648202
30,RXNORM:200943
30,RXNORM:200944
30,RXNORM:201605
30,RXNORM:201606
30,RXNORM:201607
30,RXNORM:201608
30,RXNORM:201697
30,RXNORM:201698
30,RXNORM:201699
30,RXNORM:201700
30,RXNORM:201708
30,RXNORM:205535
30,RXNORM:205696
30,RXNORM:205703
30,RXNORM:205706
30,RXNORM:205709
30,RXNORM:206779
30,RXNORM:206780
30,RXNORM:206781
30,RXNORM:206786
30,RXNORM:206787
30,RXNORM:206819
30,RXNORM:206820
30,RXNORM:206821
30,RXNORM:206828
30,RXNORM:207349
30,RXNORM:207350
30,RXNORM:208149
30,RXNORM:208161
30,RXNORM:208463
30,RXNORM:208464
30,RXNORM:208465
30,RXNORM:208645
30,RXNORM:208646
30,RXNORM:208848
30,RXNORM:208849
30,RXNORM:208850
30,RXNORM:208851
30,RXNORM:208853
30,RXNORM:209329
30,RXNORM:209339
30,RXNORM:209350
30,RXNORM:209391
30,RXNORM:209464
30,RXNORM:211322
30,RXNORM:211323
30,RXNORM:211699
30,RXNORM:211700
30,RXNORM:212233
30,RXNORM:213291
30,RXNORM:213344
30,RXNORM:213345
30,RXNORM:214003
30,RXNORM:214004
30,RXNORM:226376
30,RXNORM:261135
30,RXNORM:261282
30,RXNORM:261287
30,RXNORM:261342
30,RXNORM:284591
30,RXNORM:352004
30,RXNORM:539384
30,RXNORM:540848
30,RXNORM:541356
30,RXNORM:541520
30,RXNORM:541660
30,RXNORM:541662
30,RXNORM:541664
30,RXNORM:541666
30,RXNORM:542355
30,RXNORM:577634
30,RXNORM:577643
30,RXNORM:577648
30,RXNORM:577651
30,RXNORM:582230
30,RXNORM:583239
30,RXNORM:598032
30,RXNORM:647325
30,RXNORM:647442
30,RXNORM:647555
30,RXNORM:647556
30,RXNORM:670003
30,RXNORM:687022
30,RXNORM:687023
30,RXNORM:687024
30,RXNORM:687025
30,RXNORM:725064
30,RXNORM:725068
30,RXNORM:725072
30,RXNORM:725076
30,RXNORM:725080
30,RXNORM:729929
30,RXNORM:729931
30,RXNORM:729932
30,RXNORM:752869
30,RXNORM:752870
30,RXNORM:752871
30,RXNORM:753437
30,RXNORM:753439
30,RXNORM:753442
30,RXNORM:753443
30,RXNORM:755276
30,RXNORM:755463
30,RXNORM:799026
30,RXNORM:799059
30,RXNORM:803295
30,RXNORM:828446
30,RXNORM:828448
30,RXNORM:828451
30,RXNORM:835566
30,RXNORM:835570
30,RXNORM:835574
30,RXNORM:835579
30,RXNORM:835584
